Tanggal,Wilayah,Stasiun,Temperatur minimum,Temperatur maksimum,Temperatur rata-rata,Kelembapan rata-rata,Curah hujan, Lamanya penyinaran matahari ,Kecepatan angin maksimum,Arah angin saat kecepatan maksimum ,Kecepatan angin rata-rata,Arah angin terbanyak,
11/4/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,24.8,33.8,28.9,75,3,2.9,6,315,3,W ,
12/4/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,34.8,29.6,66,0,5.2,11,320,2,NW,
13-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,33.6,29.4,73,0,5.5,3,316,1,C ,
14-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.5,33.4,28.3,79,0,3.4,9,320,2,C ,
15-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,32,28.3,81,66.6,5.8,6,310,1,C ,
16-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.8,33.4,28.9,80,2,6.8,3,270,1,C ,
17-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.8,33.4,29.3,76,12,5.5,3,250,1,C ,
18-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,33.4,29.1,81,13.2,7.2,3,320,1,C ,
19-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,34.4,29.7,79,1.2,4.8,2,240,1,C ,
20-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.6,34.2,28.9,80,29.5,7.6,5,320,0,C ,
21-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,33.6,29.2,81,5.8,3.7,15,10,1,C ,
22-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,33.8,29.6,76,0,6.4,3,60,1,C ,
23-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,34,29.8,76,0,7,5,100,1,C ,
24-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,34.2,29.5,79,3.6,7,5,320,1,C ,
25-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.8,32.2,28.5,81,9.7,7.5,4,340,0,C ,
26-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,33.2,28.7,80,0,3.2,7,320,1,C ,
27-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,33,29.6,79,1.3,7.4,3,330,1,C ,
28-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,32.8,29.4,79,0,5.8,4,320,1,C ,
29-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,32.6,28.6,83,0,4.7,4,320,1,C ,
30-04-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25,33,29.6,76,0,3,5,300,1,C ,
1/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,31,28.8,80,0,4.8,3,310,0,C ,
2/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,34.4,29,84,0,1.4,3,320,1,C ,
3/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,33.4,29.8,79,0.5,3,3,310,1,C ,
4/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,34.2,29.4,79,2.5,3.8,3,310,1,C ,
5/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,33.4,29.2,80,0,6.6,3,300,1,C ,
6/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,33.2,28.8,82,18.1,3.9,3,320,0,C ,
7/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,33.2,28.5,83,0,3.4,6,310,1,C ,
8/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,32.8,28.7,78,45.5,4.7,3,340,1,C ,
9/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.4,34.2,30.4,75,0,3,3,110,1,C ,
10/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,34,30.3,76,0,3.6,5,120,1,C ,
11/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28.1,32.8,29.2,80,0,6.2,3,110,1,C ,
12/5/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,28,34.6,30.8,72,0,1.3,6,320,1,C ,
13-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,33.8,29,82,0,7,5,310,1,C ,
14-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.2,33.2,29.5,69,20,6.5,3,220,1,C ,
15-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.2,32.4,28.7,72,0,6,6,314,1,C ,
16-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.8,33.6,29.7,70,0,6.6,4,315,0,C ,
17-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,33.6,29.6,71,0,7.5,5,320,1,C ,
18-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.6,32,29.2,73,0,6.2,3,320,0,C ,
19-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,33.2,29.6,74,0,0,6,320,1,C ,
20-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,33,29.4,76,0,3.3,5,310,1,C ,
21-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,33.8,29.6,79,0,2.5,3,290,1,C ,
22-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,33.2,29.1,78,1.8,6,2,250,0,C ,
23-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,33.6,29.3,75,0,5.3,5,320,1,C ,
24-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,33.4,29.4,73,0,4.2,3,290,1,C ,
25-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,,33.2,29.4,72,0,2,4,320,1,C ,
26-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.4,33.8,30.1,72,0,5.2,3,140,1,C ,
27-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,33.4,29.5,76,0,4.4,2,110,1,C ,
28-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.8,32.6,28.7,80,17.8,2.5,5,310,1,C ,
29-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,25.8,32.6,29.9,75,0,2.5,3,150,1,C ,
30-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.8,32.8,29.6,75,0,3.7,7,320,1,C ,
31-05-2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,32.4,29.8,73,0,4,3,313,0,C ,
1/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26.6,33.4,29.3,74,0,5,7,320,1,C ,
2/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,26,34.4,29.9,73,0,6.5,3,100,1,C ,
3/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27,33.8,30.2,72,0,5.7,3,170,1,C ,
4/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.8,32.8,29.5,75,0,6.2,2,120,1,C ,
5/6/2023,Jakarta Pusat,Stasiun Meteorologi Kemayoran,27.2,33.6,29.6,74,0,4,6,320,1,C ,
